id,first_name,last_name,email,cc_type,cc_number,purchase_dept,purchase_amount,address,zipcode,state,prod_name,purchase_data
1,Leighton,Pavelka,lpavelka0@time.com,solo,633492725057411162,Garden,89.99,63 Columbus Parkway,80126,CO,Electric Pressure Cooker,3/9/2026
2,Gan,Quilligan,gquilligan1@about.me,visa,4041597961507,Music,14.99,1809 John Wall Lane,30066,GA,Winter Knit Beanie,10/8/2025
3,Rab,Pigden,rpigden2@tiny.cc,china-unionpay,5610339921874103575,Clothing,8.49,43199 Delaware Alley,10633,NY,Honey Garlic Shrimp,4/23/2026
4,Eugen,Redmain,eredmain3@msn.com,mastercard,5100141526866850,Music,3.99,1 Longview Way,63143,MO,Orange Ginger Vinaigrette,4/18/2026
5,Andre,Cavy,acavy4@columbia.edu,switch,564182519946553876,Garden,159.99,72 Prentice Center,75353,TX,Telescope,12/2/2025
6,Camille,Palister,cpalister5@simplemachines.org,diners-club-international,36025787634406,Movies,3.99,5 Laurel Terrace,78759,TX,Italian Herb Balsamic Marinade,1/18/2026
7,Revkah,Cartner,rcartner6@paypal.com,visa,4017951463198793,Sports,3.29,34 Longview Road,80045,CO,Traditional Hummus,2/28/2026
8,Wilow,Sankey,wsankey7@businessweek.com,diners-club-us-ca,5422809862037911,Industrial,39.99,18 Loomis Hill,47306,IN,Athletic Compression Tights,4/30/2026
9,Sheffy,Brabender,sbrabender8@europa.eu,visa,4041598196616,Shoes,1.49,99 Farwell Place,16565,PA,Fresh Cilantro,10/11/2025
10,Darnell,Asple,dasple9@ted.com,switch,4903918700972783481,Books,4.79,0984 Forster Road,75236,TX,Caraway Rye Bread,9/17/2025
11,Tedra,Strowlger,tstrowlgera@parallels.com,china-unionpay,5602249581229832,Health,1.29,839 Sundown Circle,07544,NJ,Tomato Paste,2/23/2026
12,Alethea,Guerriero,aguerrierob@cbslocal.com,instapayment,6392067601220561,Industrial,29.99,46 Warner Junction,67220,KS,Set of Silicone Cooking Utensils,5/9/2026
13,Fayth,Altamirano,faltamiranoc@reference.com,jcb,3541387917287394,Computers,3.49,5 Old Gate Lane,45243,OH,Honeycrisp Apple Chips,9/12/2025
14,Osborn,Spacie,ospacied@go.com,visa,4677984384926,Books,3.49,6 Kingsford Alley,75246,TX,BBQ Sauce,11/2/2025
15,Boris,Castelain,bcastelaine@lycos.com,bankcard,5602257650330910,Electronics,19.99,8 Welch Plaza,33710,FL,Salt and Pepper Grinder Set,10/23/2025
16,Peggie,Stadding,pstaddingf@photobucket.com,maestro,0604448440125379476,Toys,39.99,4 Loomis Trail,14210,NY,Ceramic Non-Stick Frying Pan,7/30/2026
17,Lorant,Riordan,lriordang@cornell.edu,diners-club-international,36453869863737,Electronics,15.99,79227 Colorado Place,90087,CA,Sports Bottle,5/5/2026
18,Loy,Lashmore,llashmoreh@google.com.br,mastercard,5002358281919869,Health,12.99,61125 Michigan Park,92640,CA,Wireless Earbuds Case,8/30/2026
19,Johnna,Ferriere,jferrierei@tmall.com,bankcard,5602230455147730,Clothing,5.29,66 Ridge Oak Crossing,10004,NY,Blackberry Compote,9/17/2025
20,Cameron,Schild,cschildj@utexas.edu,switch,4905159703895006009,Outdoors,19.99,8710 Warner Parkway,94263,CA,Kids' Dinosaur-Themed Lunchbox,11/19/2025
21,Fidel,Tassell,ftassellk@fc2.com,diners-club-international,36221742082795,Grocery,14.99,15 Arizona Trail,55564,MN,Pet Safety Belt for Car,4/15/2026
22,Nadeen,Dipple,ndipplel@apache.org,diners-club-us-ca,5470595790462815,Baby,24.99,231 Westport Place,30343,GA,Pet Food Storage Container,6/25/2026
23,Eveleen,Worsnap,eworsnapm@gizmodo.com,mastercard,5100179123844805,Toys,44.99,78 Scofield Road,92519,CA,Elegant Maxi Skirt,8/20/2026
24,Gusti,Quinn,gquinnn@ebay.com,solo,6767678409265793,Outdoors,9.99,8 Porter Crossing,76147,TX,Whole Roasted Chicken,9/16/2025
25,Thorvald,Flory,tfloryo@wikispaces.com,solo,6334887148734597,Movies,2.99,42 Orin Road,23324,VA,Basil Lemonade,8/6/2026
26,Vickie,Sagar,vsagarp@umn.edu,diners-club-international,36081527177784,Toys,3.99,9 Dakota Lane,19196,PA,Pesto Pasta Sauce,7/11/2026
27,Christy,Pollen,cpollenq@google.com.br,diners-club-international,36229402899564,Baby,5.49,2314 Rieder Circle,28210,NC,Sweet Potato & Kale Hash,4/27/2026
28,Iain,Ricciardo,iricciardor@dedecms.com,switch,633110556198569853,Industrial,24.99,15568 8th Trail,06673,CT,Athletic Sports Bra,4/24/2026
29,Pail,De Dantesie,pdedantesies@ed.gov,visa,4017956922553850,Clothing,2.29,767 Merchant Pass,32225,FL,Rice Pudding,5/27/2026
30,Barbey,Doughtery,bdoughteryt@buzzfeed.com,instapayment,6397984162396538,Games,19.99,41950 Eastlawn Drive,20268,DC,Multi-Purpose Marine Rope,1/19/2026
31,Jessalin,Iveagh,jiveaghu@usgs.gov,china-unionpay,5610291392839438488,Beauty,69.99,65312 Lakeland Point,12262,NY,Portable Hammock with Stand,9/16/2025
32,Gabriellia,Kerswell,gkerswellv@state.gov,mastercard,5407209947652009,Toys,89.99,32367 Thierer Way,22234,VA,Adjustable Height Standing Desk Converter,7/19/2026
